Year,Unemployment_Rate,Decade,Rate_Change,Rolling_Avg
1991,6.209,1990s,,
1992,6.465,1990s,0.256,
1993,6.667,1990s,0.202,6.447
1994,6.67,1990s,0.003,6.601
1995,6.513,1990s,-0.157,6.617
1996,6.411,1990s,-0.102,6.531
1997,6.536,1990s,0.125,6.487
1998,6.62,1990s,0.084,6.522
1999,6.736,1990s,0.116,6.631
2000,6.763,2000s,0.027,6.706
2001,6.778,2000s,0.015,6.759
2002,6.885,2000s,0.107,6.809
2003,6.829,2000s,-0.056,6.831
2004,6.818,2000s,-0.011,6.844
2005,6.654,2000s,-0.164,6.767
2006,6.571,2000s,-0.083,6.681
2007,6.561,2000s,-0.01,6.595
2008,6.839,2000s,0.278,6.657
2009,7.03,2000s,0.191,6.81
2010,7.049,2010s,0.019,6.973
2011,6.924,2010s,-0.125,7.001
2012,6.945,2010s,0.021,6.973
2013,7.183,2010s,0.238,7.017
2014,7.253,2010s,0.07,7.127
2015,7.299,2010s,0.046,7.245
2016,7.333,2010s,0.034,7.295
2017,9.097,2010s,1.764,7.91
2018,10.818,2010s,1.721,9.083
2019,12.547,2010s,1.729,10.821
2020,13.619,2020s,1.072,12.328
2021,12.232,2020s,-1.387,12.799
2022,15.488,2020s,3.256,13.78
2023,15.164,2020s,-0.324,14.295
2024,15.477,2020s,0.313,15.376
2025,15.246,2020s,-0.231,15.296
